Timestamp,Voltage (V),Current (A),Power (W),Energy (kWh),Frequency (Hz),Power Factor
2024-11-04 14:54:02,214.80,0.14,27.10,0.197,50.0,0.88
2024-11-04 14:54:02,214.80,0.14,27.10,0.197,50.0,0.88
2024-11-04 14:54:03,214.80,0.14,27.10,0.197,50.0,0.88
2024-11-04 14:54:03,214.80,0.14,27.10,0.197,50.0,0.88
2024-11-04 14:54:04,214.80,0.14,27.10,0.197,50.0,0.88
2024-11-04 14:54:05,214.60,0.14,27.10,0.197,50.0,0.88
2024-11-04 14:54:05,214.60,0.14,27.10,0.197,50.0,0.88
2024-11-04 14:54:06,214.20,0.14,27.00,0.197,50.0,0.88
2024-11-04 14:54:06,214.20,0.14,27.00,0.197,50.0,0.88
2024-11-04 14:54:07,214.20,0.14,27.00,0.197,50.0,0.88
2024-11-04 14:54:08,213.90,0.14,27.00,0.197,50.0,0.88
2024-11-04 14:54:08,213.90,0.14,27.00,0.197,50.0,0.88
2024-11-04 14:54:09,213.80,0.14,26.90,0.197,50.0,0.88
2024-11-04 14:54:09,213.80,0.14,26.90,0.197,50.0,0.88
2024-11-04 14:54:10,214.10,0.14,27.00,0.197,50.0,0.88
2024-11-04 14:54:11,214.10,0.14,27.00,0.197,50.0,0.88
2024-11-04 14:54:11,214.50,0.14,27.10,0.197,50.0,0.88
2024-11-04 14:54:12,214.50,0.14,27.10,0.197,50.0,0.88
2024-11-04 14:54:12,214.70,0.14,27.10,0.197,50.0,0.88
2024-11-04 14:54:13,214.70,0.14,27.10,0.197,50.0,0.88
2024-11-04 14:54:14,214.60,0.14,27.10,0.197,50.0,0.88
2024-11-04 14:54:14,214.60,0.14,27.10,0.197,50.0,0.88
2024-11-04 14:54:15,214.60,0.14,27.10,0.197,50.0,0.88
2024-11-04 14:54:15,214.10,0.14,27.00,0.197,50.0,0.88
2024-11-04 14:54:16,214.10,0.14,27.00,0.197,50.0,0.88
2024-11-04 14:54:17,213.80,0.14,27.00,0.197,50.0,0.88
2024-11-04 14:54:17,213.80,0.14,27.00,0.197,50.0,0.88
2024-11-04 14:54:18,214.50,0.14,27.10,0.197,50.0,0.88
2024-11-04 14:54:18,214.50,0.14,27.10,0.197,50.0,0.88
2024-11-04 14:54:19,214.70,0.14,27.20,0.197,50.0,0.88
2024-11-04 14:54:20,214.70,0.14,27.20,0.197,50.0,0.88
2024-11-04 14:54:20,214.90,0.14,27.20,0.197,50.0,0.88
2024-11-04 14:54:21,214.90,0.14,27.20,0.197,50.0,0.88
2024-11-04 14:54:21,215.00,0.14,27.20,0.197,50.0,0.88
2024-11-04 14:54:22,215.00,0.14,27.20,0.197,50.0,0.88
2024-11-04 14:54:23,214.70,0.14,27.10,0.197,50.0,0.88
2024-11-04 14:54:23,214.70,0.14,27.10,0.197,50.0,0.88
2024-11-04 14:54:24,214.70,0.14,27.20,0.197,50.0,0.88
2024-11-04 14:54:24,214.70,0.14,27.20,0.197,50.0,0.88
2024-11-04 14:54:25,214.40,0.14,27.10,0.197,50.0,0.88
2024-11-04 14:54:26,214.40,0.14,27.10,0.197,50.0,0.88
2024-11-04 14:54:26,214.40,0.14,27.10,0.197,50.0,0.88
2024-11-04 14:54:27,214.70,0.14,27.10,0.197,50.0,0.88
2024-11-04 14:54:27,214.70,0.14,27.10,0.197,50.0,0.88
2024-11-04 14:54:28,214.90,0.14,27.20,0.197,50.0,0.88
2024-11-04 14:54:29,214.90,0.14,27.20,0.197,50.0,0.88
2024-11-04 14:54:29,214.90,0.14,27.20,0.197,50.0,0.88
2024-11-04 14:54:30,214.90,0.14,27.20,0.197,50.0,0.88
2024-11-04 14:54:30,214.30,0.14,27.00,0.197,50.0,0.88
2024-11-04 14:54:31,214.30,0.14,27.00,0.197,50.0,0.88
2024-11-04 14:54:31,214.30,0.14,27.00,0.197,50.0,0.88
2024-11-04 14:54:32,214.20,0.14,27.10,0.197,50.0,0.88
2024-11-04 14:54:33,214.20,0.14,27.10,0.197,50.0,0.88
2024-11-04 14:54:33,214.30,0.14,27.10,0.197,50.0,0.88
2024-11-04 14:54:34,214.30,0.14,27.10,0.197,50.0,0.88
2024-11-04 14:54:34,214.40,0.14,27.10,0.197,50.0,0.88
2024-11-04 14:54:35,214.40,0.14,27.10,0.197,50.0,0.88
2024-11-04 14:54:36,214.40,0.14,27.10,0.197,50.0,0.88
2024-11-04 14:54:36,214.40,0.14,27.10,0.197,50.0,0.88
2024-11-04 14:54:37,214.30,0.14,27.00,0.197,50.0,0.87
